NO_OF_FRAMES	5975
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 18:29:58	28922.40665050
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1030.89371	-612.78566	377.16738	0.04121	0.04208	90.01790	0.28500	-0.00031	1.00000	0.00072	-1.00000	-0.00031	0.00073	0.00073	-0.00072	1.00000	
1031.45562	-612.53456	376.79336	0.04914	0.04559	90.03303	0.24843	-0.00058	1.00000	0.00086	-1.00000	-0.00058	0.00080	0.00080	-0.00086	1.00000	
1031.57613	-612.68214	377.46159	0.03491	0.04026	90.03422	0.26839	-0.00060	1.00000	0.00061	-1.00000	-0.00060	0.00070	0.00070	-0.00061	1.00000	
1030.79390	-612.97488	377.48917	0.03141	0.04553	90.01465	0.20588	-0.00026	1.00000	0.00055	-1.00000	-0.00026	0.00079	0.00079	-0.00055	1.00000	
1030.37004	-613.11110	377.50087	0.03368	0.04000	90.00398	0.19778	-0.00007	1.00000	0.00059	-1.00000	-0.00007	0.00070	0.00070	-0.00059	1.00000	
1030.46663	-613.19929	377.74773	0.03245	0.02475	90.00027	0.16792	-0.00000	1.00000	0.00057	-1.00000	-0.00001	0.00043	0.00043	-0.00057	1.00000	
1031.39947	-612.63378	377.13435	0.04568	0.03159	90.02778	0.18299	-0.00048	1.00000	0.00080	-1.00000	-0.00049	0.00055	0.00055	-0.00080	1.00000	
1030.66219	-613.07426	377.78031	0.02975	0.02904	90.00769	0.18470	-0.00013	1.00000	0.00052	-1.00000	-0.00013	0.00051	0.00051	-0.00052	1.00000	
1030.42925	-613.09630	377.64600	0.03532	0.02308	90.00092	0.16994	-0.00002	1.00000	0.00062	-1.00000	-0.00002	0.00040	0.00040	-0.00062	1.00000	
1030.90855	-613.06334	377.97003	0.03048	0.01546	90.01041	0.16792	-0.00018	1.00000	0.00053	-1.00000	-0.00018	0.00027	0.00027	-0.00053	1.00000	
1029.76568	-613.32281	377.42800	0.03400	0.04690	89.98894	0.18883	0.00019	1.00000	0.00059	-1.00000	0.00019	0.00082	0.00082	-0.00059	1.00000	
1030.43211	-613.10798	377.47285	0.03392	0.04606	90.00594	0.18368	-0.00010	1.00000	0.00059	-1.00000	-0.00010	0.00080	0.00080	-0.00059	1.00000	
1029.84955	-613.38974	377.71358	0.02766	0.04652	89.99075	0.16894	0.00016	1.00000	0.00048	-1.00000	0.00016	0.00081	0.00081	-0.00048	1.00000	
